#bugNames	pValuesTime	pValuesVolume	pValuesGroup	pValuesFobVsDIO	pValuesFobVsHCCR	pValuesFobVsLCCR	pValuesFobVsICR	pValuesHCCRVsLCCR	pValuesLog10VolumeWithDirection	bugIndex	corCoeffVolumeBug	pValuesAdjustedTime	pValuesAdjustedVolume	pValuesAdjustedGroup	pValuesFobVsDIOAdjusted	pValuesFobVsHCCRAdjusted	pValuesFobVsLCCRAdjusted	pValuesFobVsICRAdjusted	pValuesHCCRVsICCRAdjusted
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, NA, NA"	0.149770741	5.28E-05	4.31E-09	0.006781736	0.016698638	0.828950742	0.002743209	0.004242391	-4.27773426	47	0.307309067	0.899086628	0.005481779	1.77E-07	0.189462981	0.310793092	0.912720853	0.034250594	0.238634482
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Tannerellaceae, Parabacteroides"	0.911933011	0.353004772	1.48E-08	0.000649812	0.068011659	0.014186289	2.27E-05	0.595155026	0.452219423	33	-0.07462797	0.990516246	0.717140325	5.58E-07	0.097471791	0.437975486	0.142178141	0.001493311	0.878835229
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Muribaculaceae, NA"	0.344590069	0.095932343	1.84E-08	0.187774663	0.898904378	0.034236712	0.014098284	0.027502392	1.01803495	113	-0.104140588	0.950495723	0.407051799	6.39E-07	0.485582913	0.975094714	0.227069958	0.104234856	0.438610926
"Bacteria, NA, NA, NA, NA, NA"	0.894280161	0.76242843	2.46E-08	0.45525642	0.351445931	0.35612725	0.005366654	0.062945072	-0.117800918	474	0.022899577	0.990516246	0.916710589	7.92E-07	0.731662103	0.736648214	0.675579388	0.051494759	0.524542269
"Bacteria, Firmicutes, Clostridia, Clostridiales, Peptostreptococcaceae, NA"	0.189737838	0.052401877	3.91E-08	0.056578211	0.289241792	0.530605039	0.008262444	0.677904876	-1.280653159	25	0.159459353	0.899086628	0.330156243	1.17E-06	0.41166014	0.688403419	0.767538225	0.06816237	0.897227042
"Bacteria, Firmicutes, Erysipelotrichia, Erysipelotrichales, Erysipelotrichaceae, Turicibacter"	0.516569517	0.141384482	7.18E-08	0.694985038	0.006009401	0.609903679	0.023723415	0.016245874	-0.849598254	46	0.134504664	0.951195681	0.470874659	2.02E-06	0.86163837	0.207583144	0.803774752	0.138951428	0.438610926
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, NA, NA"	0.96312316	0.002124228	1.10E-07	0.116693493	0.097504534	0.017591975	5.50E-05	0.43350915	2.672798799	6	-0.241266935	0.990516246	0.039917791	2.88E-06	0.470267039	0.498602731	0.16191797	0.002254666	0.830123904
"Bacteria, Actinobacteria, Coriobacteriia, Coriobacteriales, Eggerthellaceae, NA"	0.423988603	0.001430244	1.15E-07	0.311308472	0.061264102	0.468575847	0.000286309	0.232220313	2.844589744	295	-0.249881344	0.950495723	0.029478461	2.88E-06	0.628200952	0.437975486	0.729762344	0.006148836	0.687846715
"Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae_1, Clostridium_sensu_stricto_1"	0.570328989	0.137336462	1.90E-07	0.184624665	0.171645741	0.747367824	0.001641619	0.279135869	-0.862214145	85	0.12832513	0.956410607	0.470874659	4.51E-06	0.483701656	0.566073969	0.872823871	0.023136571	0.732995109
"Bacteria, NA, NA, NA, NA, NA"	0.771656733	0.781041412	2.20E-07	0.925832166	0.111522974	0.042554157	0.071361919	7.13E-05	0.107325939	571	-0.034184311	0.990516246	0.916710589	4.96E-06	0.962181235	0.52212013	0.242424009	0.259550207	0.032075102
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Muribaculaceae, NA"	0.514607914	0.321482777	2.55E-07	0.019798671	0.395036963	0.387503438	0.001344333	0.057911265	-0.492842289	5	0.104610604	0.951195681	0.690047178	5.47E-06	0.240794645	0.768923712	0.694417991	0.019557877	0.512216184
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Marinifilaceae, Odoribacter"	0.033170769	0.160238744	3.39E-07	0.017842652	0.598224778	0.005034039	0.000191669	0.033045595	0.795232467	3	-0.107019836	0.899086628	0.505368348	6.95E-06	0.225607218	0.857328504	0.108381501	0.004802375	0.447228016
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Muribaculaceae, Muribaculum"	0.867334137	0.003206644	4.71E-07	0.007569895	0.142091933	0.571456008	0.015738075	0.02717232	-2.493949292	173	0.251099985	0.990516246	0.055622935	9.06E-06	0.189462981	0.526753657	0.790572575	0.11090425	0.438610926
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, NA, NA"	0.968546189	0.790761504	4.82E-07	0.819447505	0.135181344	0.096207235	0.022176403	0.000634163	0.101954481	289	-0.015709518	0.990516246	0.919158346	9.06E-06	0.930272651	0.526753657	0.372708891	0.137007638	0.081544218
"Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus"	0.68854756	0.481926217	1.84E-06	0.56286871	0.80351154	0.70713093	0.000344782	0.5180663	0.317019447	10	-0.049143199	0.982486862	0.798082365	3.31E-05	0.779481512	0.944368842	0.860729646	0.007068036	0.871822701
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Muribaculaceae, Muribaculum"	0.057761129	0.000103535	2.22E-06	0.028681738	0.001397456	0.212507276	0.054920111	0.026915776	-3.984913264	24	0.291454119	0.899086628	0.006501448	3.76E-05	0.286817379	0.125771038	0.52711429	0.22288408	0.438610926
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, NA"	0.690572806	0.162177686	2.25E-06	0.084588581	0.025999491	0.660778426	0.086134294	0.048073898	0.790008901	320	-0.113597093	0.982486862	0.507291757	3.76E-05	0.432552051	0.362682669	0.837109747	0.285636518	0.512216184
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Muribaculaceae, Muribaculum"	0.579580451	0.001222981	2.55E-06	0.020909708	0.065330299	0.612008175	0.038431621	0.010492297	-2.912580221	172	0.277471932	0.957368688	0.029478461	4.11E-05	0.241943428	0.437975486	0.803774752	0.186372701	0.429230327
"Bacteria, NA, NA, NA, NA, NA"	0.048546081	0.710899652	3.19E-06	0.747164129	0.83051295	0.414508388	0.549097358	0.501662383	-0.148191699	538	0.027168448	0.899086628	0.911563317	4.96E-05	0.896596954	0.960747628	0.703931293	0.737032466	0.863324916
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, NA, NA"	0.708524719	0.650263337	3.92E-06	0.002917669	0.376564602	0.001937761	0.065218233	0.016134199	0.186910732	75	-0.013958576	0.990516246	0.883339653	5.90E-05	0.189462981	0.758199805	0.089330784	0.243086142	0.438610926
"Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Burkholderiaceae, Parasutterella"	0.201417243	0.124184041	7.77E-06	0.120155832	0.380299467	0.071432612	0.005480595	0.193893491	0.905934213	110	-0.125804326	0.899086628	0.455341482	0.000113072	0.470267039	0.758199805	0.328735797	0.051494759	0.661688018
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.305833499	0.13489247	1.14E-05	0.178044615	0.670780728	0.117705032	0.000158817	0.236168844	-0.870012294	530	0.071183353	0.927934024	0.470874659	0.000160407	0.482651066	0.896354448	0.377718427	0.004213332	0.690103764
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, NA, NA"	0.077298326	0.549111175	2.18E-05	0.059119928	0.929735743	0.008430517	0.000137084	0.009231774	0.260339718	8	-0.045883657	0.899086628	0.840683454	0.000290836	0.41166014	0.981717722	0.116778962	0.003864048	0.415429851
"Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus"	0.203535301	0.681842318	2.19E-05	0.810162063	0.301626275	0.586762946	0.00117376	0.59724378	0.166316048	73	-0.034571022	0.899086628	0.899565579	0.000290836	0.925312	0.68968551	0.797580594	0.018253996	0.878835229
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Muribaculaceae, NA"	0.484880977	0.030345789	2.43E-05	0.099237101	0.259116783	0.006580747	0.000264549	0.141548675	1.517901569	48	-0.192811405	0.950495723	0.258225486	0.000313098	0.458974187	0.668148493	0.108381501	0.005965573	0.661688018
"Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus"	0.307146714	0.361539949	2.62E-05	0.416406667	0.708785843	0.522268395	0.151889639	0.797262747	0.441843708	206	-0.076718475	0.927934024	0.718225823	0.00032879	0.700668373	0.912631699	0.767538225	0.402518352	0.950163356
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.059517693	0.292593691	2.83E-05	0.453741265	0.491305769	0.405905726	0.023212948	0.888513294	0.533735042	149	-0.112501691	0.899086628	0.666626618	0.000338928	0.731662103	0.804971648	0.701392653	0.137750519	0.978517193
"Bacteria, Firmicutes, NA, NA, NA, NA"	0.861713018	0.437344603	2.86E-05	0.179152054	0.050073641	0.024785564	2.08E-05	0.772151574	0.359176229	360	-0.065034237	0.990516246	0.757069528	0.000338928	0.482745057	0.433563795	0.183737521	0.001493311	0.944207088
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, NA"	0.050692286	0.702258165	3.37E-05	0.716256308	0.858735064	0.568987925	0.000433057	0.43135636	-0.153503203	536	0.00516704	0.899086628	0.906511642	0.000389799	0.875856898	0.965866238	0.790572575	0.008137859	0.829531461
"Bacteria, Proteobacteria, NA, NA, NA, NA"	0.180005382	0.150358207	3.93E-05	0.02096843	0.970507209	0.337634991	0.010049931	0.305395754	-0.822872861	104	0.165328494	0.899086628	0.484368225	0.000443455	0.241943428	0.989788439	0.667245039	0.076822355	0.739488206
"Bacteria, Firmicutes, NA, NA, NA, NA"	0.394262912	0.670549164	5.27E-05	0.631877839	0.61430129	0.268687244	0.002981501	0.528689094	-0.173569374	70	0.017831759	0.950495723	0.894726843	0.000569695	0.821806437	0.866569219	0.588242462	0.03447838	0.871822701
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Muribaculaceae, NA"	0.623379503	0.131853646	5.31E-05	0.118420555	0.407452328	0.040540667	0.000130172	0.25242728	0.879907855	45	-0.139668041	0.958706655	0.464578082	0.000569695	0.470267039	0.768923712	0.240993281	0.003864048	0.701287068
"Bacteria, Actinobacteria, Coriobacteriia, Coriobacteriales, Eggerthellaceae, Enterorhabdus"	0.623164933	0.246203586	5.69E-05	0.132142426	0.741195376	0.596302999	0.028299016	0.832955497	-0.608705626	226	0.098409773	0.958706655	0.616459708	0.000596568	0.470267039	0.924808725	0.80167671	0.156059587	0.955201323
"Bacteria, Firmicutes, NA, NA, NA, NA"	0.639188599	0.025229966	6.26E-05	0.00012369	0.473272185	0.973856109	0.719297923	0.452024461	1.598083328	160	-0.215065527	0.958706655	0.236790653	0.000642022	0.033975121	0.796809582	0.989557862	0.847006171	0.846747427
"Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus"	0.678954761	2.13E-08	6.70E-05	0.696907446	0.000278962	0.000303786	0.000253098	0.956650793	-7.672068878	276	0.508245511	0.982486862	9.60E-06	0.000671073	0.86163837	0.041844366	0.048418399	0.005965573	0.985900242
"Bacteria, NA, NA, NA, NA, NA"	0.26942572	7.34E-07	0.00010302	0.060887339	0.002478526	0.002478526	0.174962	NA	-6.134456928	339	0.468860751	0.927934024	0.000110306	0.001010041	0.41166014	0.151026138	0.089330784	0.428847076	NA
"Eukaryota, NA, NA, NA, NA, NA"	0.161622833	0.099353815	0.000153191	0.672913393	0.463826767	0.006969099	0.004958939	0.050917611	1.002815452	705	-0.141329543	0.899086628	0.407753303	0.001469979	0.848210159	0.796809582	0.108381501	0.049699586	0.512216184
"Eukaryota, NA, NA, NA, NA, NA"	0.487557242	0.614085018	0.000184879	0.082182005	0.082276866	0.164480163	0.008614756	0.629990649	0.211771498	728	-0.04367449	0.950495723	0.862121723	0.001737091	0.432552051	0.448523144	0.475112382	0.06816237	0.878835229
"Bacteria, NA, NA, NA, NA, NA"	0.089819811	0.551145488	0.000224711	0.03766775	0.052027655	0.060357527	0.753559276	0.891392077	-0.258733744	346	0.049630081	0.899086628	0.840683454	0.002057776	0.339009749	0.433563795	0.29181345	0.860384652	0.978517193
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Muribaculaceae, NA"	0.561912414	0.429095525	0.000228135	0.064697201	0.785758414	0.007864138	0.042658169	0.029222012	0.367446014	35	-0.054461216	0.956410607	0.75300421	0.002057776	0.417107589	0.932958539	0.114410517	0.196314635	0.438610926
"Bacteria, Verrucomicrobia, Verrucomicrobiae, Verrucomicrobiales, Akkermansiaceae, Akkermansia"	0.554853654	0.420626145	0.000240806	0.169448879	0.891811946	0.095009555	0.043447238	0.090691061	0.376103737	26	-0.069735306	0.955974921	0.75300421	0.002129483	0.476441958	0.975094714	0.372602691	0.197697575	0.578433664
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Muribaculaceae, NA"	0.685723341	0.588179144	0.000310195	0.014490126	0.632328938	0.014599878	0.029322538	0.029465546	0.230490379	28	-0.02615431	0.982486862	0.84876962	0.002690344	0.217351897	0.875873472	0.14314228	0.157434102	0.438610926
"Bacteria, Firmicutes, NA, NA, NA, NA"	0.843056554	0.811700262	0.000316657	0.202006681	0.589146705	0.534929509	0.004341075	0.453499198	0.090604314	285	-0.027869607	0.990516246	0.92443641	0.002694568	0.505016703	0.85615367	0.770777024	0.044496014	0.846747427
"Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus"	0.255774174	0.401519376	0.000394966	0.092438263	0.161817809	0.019599895	0.706428747	0.271508527	0.396293492	191	-0.071258046	0.927934024	0.745206744	0.003298697	0.447281917	0.555862703	0.16931908	0.837227694	0.723844805
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, NA"	0.722792526	0.77847818	0.000404145	0.345743954	0.111162173	0.121206463	0.993731041	0.960938547	-0.108753556	296	0.025383298	0.990516246	0.916710589	0.003313988	0.632337966	0.52212013	0.382266536	0.999492384	0.985900242
"Eukaryota, NA, NA, NA, NA, NA"	0.592495364	0.105050619	0.000446822	0.577727155	0.082190983	0.529156351	0.05666733	0.164341371	0.978601385	736	-0.142669205	0.957368688	0.419519485	0.003598511	0.784102645	0.448523144	0.767538225	0.224183913	0.661688018
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.703545541	0.096805202	0.000474015	0.074297692	0.063999321	0.002454128	0.448086816	0.084842366	-1.014101303	472	0.144370564	0.988520904	0.407051799	0.003750543	0.431062039	0.437975486	0.089330784	0.663596378	0.578433664
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Dorea"	0.890128648	0.766854142	0.00054755	0.352220301	0.113949028	0.122361832	0.603037766	0.971845419	0.115287233	205	-0.025433536	0.990516246	0.916710589	0.004236051	0.633996542	0.52212013	0.383230459	0.77191414	0.986976533
"Eukaryota, NA, NA, NA, NA, NA"	0.04047149	0.292585487	0.000554162	0.165677516	0.082727602	0.082581215	0.019191008	0.922455781	0.533747219	746	-0.091567575	0.899086628	0.666626618	0.004236051	0.473470343	0.448523144	0.354705981	0.125436879	0.985900242
"Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus"	0.49674244	0.322674627	0.000563588	0.234820271	0.720621935	0.109521536	0.03816869	0.214430323	0.491235183	202	-0.086471324	0.951195681	0.690047178	0.0042363	0.554523212	0.917093536	0.373769313	0.186372701	0.682058201
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.12463909	0.995953608	0.00059009	0.096437044	0.45748464	0.513902906	0.202475998	0.142106444	0.001760891	213	-0.000489672	0.899086628	0.999547657	0.004362798	0.452048644	0.796809582	0.767538225	0.458877765	0.661688018
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Rikenellaceae, Rikenella"	0.21279265	0.015970473	0.000613473	0.566014087	0.013975559	0.003918408	0.887250709	0.774737813	1.796682231	11	-0.216242123	0.899086628	0.180067079	0.004462523	0.780158109	0.310793092	0.108381501	0.953602495	0.944802211
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, NA, NA"	0.126509785	0.145680053	0.000643454	0.04568439	0.634833712	0.010051702	0.035140012	0.033790561	0.836599909	72	-0.0516331	0.899086628	0.472674129	0.004606312	0.380703249	0.875873472	0.123835635	0.180092562	0.447228016
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Lachnospiraceae_NK4A136_group"	0.703581397	0.647333874	0.000666582	0.008314699	0.804106309	0.09985075	0.003885596	0.070648498	-0.188871666	15	0.103004186	0.988520904	0.883339653	0.004659659	0.196927076	0.944368842	0.372708891	0.040753576	0.557751301
"Bacteria, NA, NA, NA, NA, NA"	0.701729983	0.545004522	0.000671569	0.08651041	0.54348002	0.044267469	0.289861153	0.162787738	0.263599894	195	-0.068525001	0.988520904	0.840683454	0.004659659	0.432552051	0.823454576	0.246476896	0.533126521	0.661688018
"Bacteria, NA, NA, NA, NA, NA"	0.315166395	0.043550671	0.000781552	0.099954379	0.711852725	0.714262881	0.833001727	0.998993258	-1.361005146	478	0.175104779	0.927934024	0.288843423	0.005340604	0.458974187	0.912631699	0.860729646	0.918542246	0.998993258
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Muribaculaceae, NA"	0.828408372	0.507712985	0.000799879	0.138990036	0.918719111	0.030345495	0.214919159	0.049123186	0.294381729	18	-0.037911322	0.990516246	0.817780558	0.005384259	0.470267039	0.979676777	0.207360879	0.468052322	0.512216184
"Bacteria, Proteobacteria, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Bilophila"	0.47939412	0.720523035	0.000821374	0.68590238	0.081324482	0.394170744	0.187105798	0.380316753	0.142352131	37	-0.010954954	0.950495723	0.914480201	0.005447644	0.857377975	0.448523144	0.694417991	0.435163805	0.781472779
"Bacteria, Firmicutes, Erysipelotrichia, Erysipelotrichales, Erysipelotrichaceae, Erysipelatoclostridium"	0.63331557	0.416291262	0.000850273	0.121065126	0.778283961	0.118926866	0.008154341	0.170255556	0.380602705	99	-0.072480131	0.958706655	0.75300421	0.00555758	0.470267039	0.932508631	0.377718427	0.06816237	0.661688018
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, NA, NA"	0.47830698	0.004243912	0.000910563	0.253985099	0.000792246	0.007849625	0.240109074	0.34964215	-2.372233626	30	0.353174717	0.950495723	0.068357297	0.005824283	0.568623355	0.089127712	0.114410517	0.480980928	0.756945167
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Muribaculaceae, Muribaculum"	0.633665364	0.041232311	0.000916905	0.043163095	0.173337733	0.722697522	0.293205103	0.072012378	-1.384762318	117	0.212503175	0.958706655	0.288843423	0.005824283	0.366479111	0.566073969	0.866852612	0.535366402	0.558716728
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Lachnoclostridium"	0.600743545	0.551943471	0.000936804	0.136215441	0.833984087	0.066248896	0.000552527	0.093218203	0.258105399	321	-0.052484202	0.957368688	0.840683454	0.005868036	0.470267039	0.962190087	0.311231791	0.009967588	0.578433664
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, NA"	0.960179824	0.502024586	0.000963539	0.416676977	0.515598912	0.490352711	0.219213195	0.983185875	0.299275013	144	-0.058927256	0.990516246	0.811516446	0.005952824	0.700668373	0.819500641	0.749657873	0.468555218	0.989784438
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, NA"	0.149107362	0.635105402	0.001008827	0.161200617	0.018297663	0.515342849	0.708091612	0.065896318	-0.197154193	408	0.03955348	0.899086628	0.881223856	0.006118389	0.473470343	0.310793092	0.767538225	0.837227694	0.539151695
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, NA"	0.460028017	0.095616109	0.001017471	0.02756638	0.905337293	0.761317212	0.016847776	0.841370756	-1.019468932	83	0.142891974	0.950495723	0.407051799	0.006118389	0.281928887	0.975094714	0.873806741	0.116154905	0.956103132
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcaceae_UCG-014"	0.45863479	0.024896444	0.001058942	0.920080558	0.002690072	0.035471361	0.494426678	0.084248122	-1.603862685	146	0.202620357	0.950495723	0.236790653	0.006283983	0.961370083	0.151026138	0.23184904	0.700108191	0.578433664
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.442790688	0.583698652	0.001165719	0.458927776	0.326889445	0.701309777	0.02499778	0.528016819	0.23381131	178	-0.047666013	0.950495723	0.84876962	0.006827781	0.73493772	0.711422766	0.860729646	0.142708843	0.871822701
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, NA"	0.652740058	0.340248857	0.001328246	0.106097845	0.907921522	0.857800348	0.165853053	0.948704757	-0.468203325	520	0.084901675	0.966139546	0.700695135	0.007679984	0.470267039	0.975094714	0.932211944	0.416956231	0.985900242
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, NA"	0.662140396	0.04146114	0.001383562	0.157066742	0.288423282	0.424903979	0.752254809	0.761503525	-1.382358765	404	0.184069757	0.972720907	0.288843423	0.007898561	0.473470343	0.688403419	0.705119153	0.860384652	0.941419193
"Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, NA"	0.726268039	0.138309862	0.001609357	0.01206896	0.901986566	0.102474285	0.051124702	0.0583743	-0.859146851	198	0.174675671	0.990516246	0.470874659	0.009072751	0.217241276	0.975094714	0.372708891	0.21349297	0.512216184
"Bacteria, Firmicutes, Clostridia, Clostridiales, NA, NA"	0.043831665	0.12574472	0.00177655	0.138334353	0.135735677	0.010876222	0.002885859	0.182882612	0.900510243	225	-0.127567393	0.899086628	0.457345714	0.009891655	0.470267039	0.526753657	0.12431933	0.034250594	0.661688018
"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, NA"	0.065516131	0.99606525	0.001971187	0.97042665	0.941624271	0.937044389	0.082473433	0.877920735	0.001712211	154	-0.0023118	0.899086628	0.999547657	0.01075342	0.979130028	0.981717722	0.973748893	0.284070813	0.977690978
"NA, NA, NA, NA, NA, NA"	0.782979349	0.436663754	0.001979011	0.799475838	0.671269886	0.202620378	0.011579018	0.260598239	-0.359852856	90	0.072760574	0.990516246	0.757069528	0.01075342	0.924843515	0.896354448	0.525182704	0.08703562	0.713710215
"Bacteria, NA, NA, NA, NA, NA"	0.126780481	0.263513123	0.002024713	0.290804648	0.337099245	0.67298413	0.036880225	0.565296285	-0.579197752	187	0.11591313	0.899086628	0.638948487	0.010870782	0.61096866	0.718932039	0.847809617	0.184810905	0.878835229
"Bacteria, Tenericutes, Mollicutes, Mollicutes_RF39, NA, NA"	0.833082308	7.45E-08	0.00216097	0.000151001	0.288926729	0.899993131	0.212457914	0.329697437	-7.127907359	423	0.496348509	0.990516246	1.68E-05	0.011465851	0.033975121	0.688403419	0.95906925	0.465138444	0.756945167
"Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Lactococcus"	0.142981426	0.673797517	0.002245164	0.430772085	0.61017676	0.936165689	0.253432637	0.049330288	0.171470594	38	-0.036154511	0.899086628	0.896409086	0.011774057	0.710334125	0.865699754	0.973748893	0.4891892	0.512216184
"Bacteria, NA, NA, NA, NA, NA"	0.201451192	0.929042649	0.002279078	0.009607267	0.466181005	0.002057673	7.08E-05	0.020364855	0.031964349	61	-0.010381259	0.899086628	0.987410449	0.011814533	0.201520969	0.796809582	0.089330784	0.002661534	0.438610926
"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, NA, NA"	0.533314211	0.326591723	0.002333545	0.365217517	0.632604293	0.784023172	0.061888095	0.454957197	-0.485994826	65	0.092584549	0.951195681	0.691515808	0.011959419	0.643233177	0.875873472	0.895175824	0.235450607	0.846747427
"Bacteria, Proteobacteria, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, NA"	0.301112697	0.804907843	0.002387701	0.509351375	0.457879936	0.511381254	0.107258029	0.968373127	0.094253841	42	-0.022687759	0.927934024	0.922830602	0.012021252	0.765715619	0.796809582	0.767538225	0.32035345	0.985900242
