"bugNames"	"pValuesTime"	"pValuesVolume"	"pValuesGroup"	"pValuesFobVsDIO"	"pValuesFobVsHCCR"	"pValuesFobVsLCCR"	"pValuesFobVsICR"	"pValuesHCCRVsLCCR"	"pValuesLog10VolumeWithDirection"	"bugIndex"	"corCoeffVolumeBug"	"pValuesAdjustedTime"	"pValuesAdjustedVolume"	"pValuesAdjustedGroup"	"pValuesFobVsDIOAdjusted"	"pValuesFobVsHCCRAdjusted"	"pValuesFobVsLCCRAdjusted"	"pValuesFobVsICRAdjusted"	"pValuesHCCRVsICCRAdjusted"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae..g__Odoribacter"	0.632217877915309	9.55118386170017e-06	2.26739114588259e-05	0.847735878746665	0.00289482382169906	0.000513909253571327	0.00119320942141307	0.0662641072863327	5.01994279462165	53	-0.373913183352534	0.683489539528604	8.11850628244515e-05	0.000140165998109106	0.886862150073434	0.0115792952867963	0.00499226132040718	0.00540921604373927	0.550823929645057
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila"	0.000446679321805199	9.43651283047409e-05	2.87907214313599e-05	0.0417755353556245	0.000443799517269916	0.00079435593035584	3.55835980741978e-05	0.764870904622517	-4.02518846526492	200	0.338986167451337	0.00276129035297759	0.000524716760417312	0.000163147421444373	0.12342454025707	0.00201189114495695	0.00600180036268857	0.00111088879199233	0.896046964128387
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__"	0.000104042134686066	3.54587490591918e-05	4.45539206710421e-05	0.0016373926922983	0.000165237123116762	0.0402712812491772	0.00169559773376286	0.0069230533281399	-4.45027658983699	125	0.332532606252264	0.0014149730317305	0.000241119493602504	0.000222057352177872	0.0101220639160259	0.00102146585199453	0.109537884997762	0.00720629036849217	0.113924210992418
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter"	0.000269338008131781	0.00226393923044488	4.57176901542677e-05	0.00244659215031894	0.0216905615218312	0.175503078258961	0.0580005005283028	0.209331140964344	2.64513523483212	99	-0.309788039743838	0.00228937306912014	0.00751324023485976	0.000222057352177872	0.0127975589401298	0.0567291609032508	0.284147840990698	0.171479740692374	0.63925618515989
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__"	0.136549530320701	0.0530361025252948	7.01240681715287e-05	0.0245652674944709	0.00404329633717002	0.0475592740327243	0.540432688221212	0.941565672721427	-1.27542839851638	121	0.182337891739402	0.206341512484616	0.0901613742930011	0.00031789577571093	0.0918337985085161	0.0152746750515312	0.119778912378713	0.702947731044672	0.959956718421987
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__"	0.630772711655843	5.34147341246793e-07	7.50336315793465e-05	0.00118412660751506	0.00428141721732034	0.00275258897853216	0.000113390660435579	0.790335149867349	6.27233892899378	49	-0.429759718244021	0.683489539528604	5.18885988639742e-06	0.000318892934212223	0.00805206093110241	0.0153229668830412	0.0151957322000374	0.00120789456056171	0.896046964128387
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium"	0.0255879679499862	0.0119735928657335	0.000105104432063907	0.127086907531556	1.54186882457998e-06	9.78101762316472e-05	0.000175959399609887	0.589706398555976	-1.92177551311629	109	0.234227947628532	0.0527267218363352	0.0290787255310671	0.000420417728255629	0.261876051883207	4.53765885303449e-05	0.001662772995938	0.0013294710192747	0.835417397954299
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.Other.Other"	0.953730906180762	0.00015373265193297	0.000122836172252727	9.6073438759707e-06	0.445827219743209	0.544899981598253	0.0992124322311195	0.216255966669081	-3.81323388104761	100	0.333493800685518	0.953730906180762	0.000746701452245852	0.000456367665688514	0.000217766461188669	0.606325018850764	0.682287681026291	0.224881513057204	0.63925618515989
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides"	0.00076648236000354	3.02073277522741e-05	0.000127514494824732	0.00875160216525634	0.111818083072707	0.00292967417456396	0.428032073459647	0.0733104769277529	4.51988769226306	44	-0.344283088409262	0.00410468721772412	0.000228233143017182	0.000456367665688514	0.0371943092023395	0.194964862793437	0.0151957322000374	0.632743065114261	0.550823929645057
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium"	0.00717285194205397	0.000478322958365029	0.000143944401634899	0.133706905769614	0.00622006373335186	0.118996413322055	0.00978378594030782	0.175479110299297	3.32027877352495	9	-0.2920797434617	0.0221706332754395	0.00180699784271233	0.000489410965558656	0.267413811539228	0.0201411587556155	0.23799282664411	0.0332648721970466	0.63925618515989
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira"	0.0295125911777804	0.000267969699971449	0.00017039951480935	0.304901509908453	1.96952943783159e-05	0.000255119095549751	0.00115231925822495	0.498415287404018	-3.57191430999786	128	0.316894285545134	0.0590251823555608	0.0012147959732039	0.000551769857477894	0.471211424403974	0.00022321333628758	0.00346961969947661	0.00540921604373927	0.823046316285646
"k__Bacteria.p__TM7.c__TM7.3.Other.Other.Other"	0.230285820771679	7.61401319320232e-05	0.000296152924364801	0.00234343107932558	0.565732207868107	0.146238402670997	0.788489590885363	0.126954453588768	4.11838637499604	219	-0.36721235726477	0.301142996393734	0.000470684451943416	0.000915381766218475	0.0127975589401298	0.709311680136756	0.254979779016098	0.872109418158485	0.616635917431157
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea"	0.683135332019764	0.0713401216896008	0.000404318154593408	0.00296963655623658	0.0591923634285396	0.401882902477212	0.313559411417224	0.249242673352595	-1.14666615419199	116	0.181008307581217	0.725831290270999	0.112816936625415	0.00119225610965233	0.0144239489874348	0.13416935710469	0.546560747369009	0.533621934503715	0.63925618515989
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum"	9.029343345901e-06	0.0479210136534863	0.000420796273994939	0.622639029832753	0.064924899718243	0.0114812328519513	0.330544058211842	0.285021664976594	1.31947400406909	143	-0.156384352375129	0.000204665115840423	0.0857533928536071	0.00119225610965233	0.756061679082629	0.142415909059372	0.0433735463295937	0.535006561481676	0.646049107280279
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__"	0.936727733476989	0.00253547497352402	0.000561504762294218	0.107722360290575	0.0081281291218356	0.0676169114256224	0.53364222378559	0.337358640738365	2.59594067181067	142	-0.313141782776762	0.950708744424407	0.00783692264543788	0.00147277110827194	0.244170683325304	0.0251233081947646	0.153264999231411	0.702947731044672	0.671626675019601
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__"	0.00106867074574191	3.4162015771777e-07	0.000563118364927506	0.00102203482235542	0.00612232209168735	0.00721427508535991	0.000558915886639376	0.648985955240027	6.46645651114665	153	-0.433059977752679	0.00493470784496841	4.47467054224641e-06	0.00147277110827194	0.00789998575058685	0.0201411587556155	0.0306606691127796	0.00345511639013432	0.860589553802536
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Adlercreutzia"	0.00439589707357069	0.00290928473974139	0.00130248885188822	0.23316082156346	2.00190831751522e-06	1.10895156169328e-06	0.000145415944868759	0.574542512392759	2.53621377107101	35	-0.257969865741129	0.0149460500501403	0.0081348864786961	0.0032803422936444	0.396373396657883	4.53765885303449e-05	2.5136235398381e-05	0.00123603553138445	0.835417397954299
"k__Bacteria.p__TM7.c__TM7.3.o__CW040.f__F16.g__"	0.48645160812063	0.0216943203601538	0.00183954147803322	0.0797809232548482	0.855941174930002	0.828433182711306	0.074331456170033	0.945062663604485	1.66365395090275	221	-0.284736629868306	0.57032257503798	0.0491737928163487	0.00446745787522354	0.20092973264184	0.918874731607133	0.894181848005854	0.187765705931266	0.959956718421987
"Unassigned.Other.Other.Other.Other.Other"	0.181705301692216	0.393999881352175	0.00256493110623568	0.19995327170212	0.00023764205098958	0.0055683283323063	4.90097996467205e-05	0.103692354658063	0.404503908956414	2	-0.221492854941371	0.257415844063973	0.478428427356213	0.00601432121462159	0.367481688533625	0.00124305072825319	0.0252430884397885	0.00111088879199233	0.550823929645057
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.Other.Other"	0.341607314982201	8.21621304325504e-09	0.003708838011655	0.0256594437009089	0.000149197528201373	0.000683616234239969	0.000858260945481388	0.503955715924434	8.08532830817532	39	-0.513021616397994	0.430172174422031	2.79351243470671e-07	0.00840669949308467	0.0918337985085161	0.00101454319176934	0.00581073799103974	0.00448936494559495	0.823046316285646
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia"	0.619515784648506	0.000388247646842421	0.0041460244525735	0.000205611875253977	0.607459925681783	0.551850330241853	0.597193868299901	0.919806832820713	3.41089116783752	224	-0.317622923748262	0.683489539528604	0.00155299058736968	0.0090945052508064	0.00279632150345409	0.73762990975645	0.682287681026291	0.733548084918996	0.959956718421987
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus"	0.000363780483203513	0.0233385505126675	0.00433986630255934	0.681860627031574	1.12523226644057e-05	0.00883900946179685	8.90707656517125e-05	0.0058160185008275	-1.63192612018002	98	0.215498194576624	0.00247370728578389	0.0511942398342385	0.00922221589293859	0.813447765581526	0.000160551153159138	0.0353560378471874	0.00120789456056171	0.113924210992418
"k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Fusobacterium"	0.131148041029655	0.112619377489193	0.00553201553322835	0.698378825323098	0.107422710413751	0.196477373314099	0.0715873097624426	0.544139702418474	-0.948386877578882	150	0.140374566232622	0.206341512484616	0.174048128846935	0.0113993047351372	0.818788967620183	0.194964862793437	0.310708404310668	0.187765705931266	0.823046316285646
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus"	0.116352274450416	0.00320261766602137	0.0122580318891155	0.155316603778711	0.0094048228907615	0.172292292117021	0.0024965364386204	0.105304574785084	-2.49449490506024	126	0.264259213501436	0.188379872919722	0.00837607697267127	0.0245160637782309	0.293375807137565	0.0278055633292079	0.284147840990698	0.0099861457544816	0.550823929645057
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae.g__Agrobacterium"	0.0209824125256908	0.166769209946022	0.01416073175597	0.103265012803365	0.0584151606929981	0.0580714718437418	0.720964512242026	0.972523507782148	0.777884128667548	168	-0.176524001993971	0.0487710876442123	0.24128311226233	0.0268139734428455	0.242138650711339	0.13416935710469	0.136167589150843	0.830942149702674	0.972523507782148
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio"	0.0944713224928815	0.240234685946462	0.0141956329991535	0.422509933295817	0.0531762758494808	0.0233953422895557	0.812071694218072	0.267799549778216	-0.619364287409364	201	0.151460865688022	0.160639284886343	0.320312914595282	0.0268139734428455	0.563346577727756	0.129142384205882	0.0723128761677178	0.876521828679824	0.63925618515989
"MDS5"	0.0944936969919665	0.272615006426659	0.0253235010865005	0.842060715469189	0.0719977806597512	0.0751217600324013	0.0745540302962381	0.776807170456326	0.564450241572094	237	-0.100397072623526	0.160639284886343	0.356496546865631	0.0465404884832982	0.886862150073434	0.145163106218997	0.159633740068853	0.187765705931266	0.896046964128387
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae.g__Staphylococcus"	0.0215166563136231	0.656906721430465	0.0325422222808521	0.11160611567893	0.891849004206923	0.854982407928668	0.992134329960181	0.627267476296597	0.182496294434225	83	-0.0477967708818035	0.0487710876442123	0.74449428428786	0.0572580884299502	0.244813415037652	0.918874731607133	0.908418808424209	0.992134329960181	0.853083767763371
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter"	0.017671540398239	0.0626199534115004	0.0328391977760009	0.827125844085485	0.19456773232247	0.0205416487256094	0.0315496069340624	0.0615094959387438	1.20328725982891	213	-0.199972998143965	0.0480665898832102	0.101384686475763	0.0572580884299502	0.886862150073434	0.315014423760189	0.0682982102756441	0.102160631976964	0.550823929645057
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides"	0.221623102690506	0.164063858247292	0.0383424631724889	0.117635754642851	0.352370370067179	0.261914001916901	0.275105806609148	0.837460725282704	0.784987079474026	41	-0.170486403805639	0.301142996393734	0.24128311226233	0.0651821873932311	0.249975978616058	0.520895329664525	0.395781158452207	0.50559986079519	0.933562775724982
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus"	0.478487847738155	0.357769095932883	0.0445132998525526	0.86874209003218	0.0704657120392514	0.380039218314342	0.302048529567418	0.345690200377736	-0.446397176472595	115	0.117129441486473	0.57032257503798	0.453101017925045	0.0738269363408189	0.895067607911943	0.145163106218997	0.536792874794155	0.533621934503715	0.671626675019601
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__"	0.000247233773880362	0.000625501566970277	0.0510918177255789	0.0405802548908109	0.00285262747030378	0.0743371751524877	0.0980464306847372	0.185572230816038	-3.20377159799983	101	0.322621013054137	0.00228937306912014	0.00223863718705152	0.0812197264588	0.12342454025707	0.0115792952867963	0.159633740068853	0.224881513057204	0.63925618515989
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus."	0.00984478321831195	0.366478764498198	0.0513595329077706	0.0613215631934024	0.0789043566920476	0.593297758622212	0.338312972701648	0.299576851213545	-0.435951185356943	120	0.122722867578006	0.0291063156019658	0.453101017925045	0.0812197264588	0.16037947296736	0.153299893001693	0.707137923651044	0.535006561481676	0.655516569850697
"MDS8"	0.0541353032827727	0.196431756103428	0.054928939544188	0.393058713975202	0.882021015016727	0.232131005085703	0.321742636980181	0.197031344225798	-0.706788300736313	240	0.116452177237185	0.10225557286746	0.271730044582371	0.0848901792955632	0.548635825420916	0.918874731607133	0.358747916950633	0.533621934503715	0.63925618515989
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.Other"	0.0248079602489678	0.0270667785368908	0.059789225967348	0.208225135168847	0.0111485713689812	0.131920170397096	0.927301986269402	0.318118335368721	-1.56756343048388	124	0.209193140809966	0.0527169155290566	0.0575169043908929	0.0903481636839926	0.372613399775831	0.0303241141236288	0.242447880729798	0.942587860351571	0.655516569850697
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.Other"	0.000319250848307195	0.00270855896133426	0.061288561493763	0.0149262334264842	0.18552386515294	0.1384708928901	0.036319287759951	0.900621715486084	2.56726170602346	103	-0.260843546388313	0.00241211752054325	0.0080079134509013	0.0906004822081715	0.0597049337059367	0.307698117814631	0.247790018855968	0.112259616712576	0.959956718421987
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__"	0.0560856893464217	0.955127605635088	0.0678617448948986	0.536488178832489	0.130239405757529	0.0334870661148893	0.506992024325199	0.730132464103285	-0.0199386025303419	139	0.00639536710710166	0.103076402042072	0.955127605635088	0.0981829500607044	0.674644032313987	0.221406989787799	0.094880020658853	0.702947731044672	0.896046964128387
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus"	0.000213753183298193	0.00232026536664787	0.129163960976833	0.353514683503195	6.79874596936847e-05	0.00211906318893091	0.000315860658398759	0.200925698109314	2.6344623424021	94	-0.279189047859179	0.00228937306912014	0.00751324023485976	0.182982278050513	0.511468052728027	0.00057789340739632	0.0130996633497547	0.00214785247711156	0.63925618515989
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium"	0.340583651295947	0.159306694925113	0.13653837574458	0.0314992366621077	0.0725815531094985	0.386806630366376	0.320129230775922	0.26813729928382	0.797765972422745	107	-0.0516027245263696	0.430172174422031	0.240730116775726	0.189481827563907	0.107097404651166	0.145163106218997	0.536792874794155	0.533621934503715	0.63925618515989
"MDS4"	0.00078471961515314	0.0283110097540606	0.139548449839461	0.246415858725004	0.393000813205357	0.432469455584004	0.224436004504605	0.863691111089195	1.54804464060324	236	-0.193325939254192	0.00410468721772412	0.0583378382810947	0.189785891781667	0.408689716909762	0.556751152040922	0.576625940778672	0.43604709446609	0.947274121839762
"k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Propionibacteriaceae.g__Propionibacterium"	0.633232955739736	0.0370910483626521	0.232912152321419	0.142958041526025	0.259705938822264	0.629367313380055	0.388623331590271	0.477790281115676	-1.43073089134973	28	0.196825164175928	0.683489539528604	0.0700608691294539	0.310549536428558	0.277747052107705	0.401363723634408	0.70903881350414	0.58790207766351	0.823046316285646
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus"	0.0626485635846801	0.199801503369391	0.283576255254438	0.493246142809887	0.110822002133034	0.0923970929598998	0.108763067490049	0.945839707856958	-0.699401248329384	129	0.118308507634139	0.112107955888375	0.271730044582371	0.370830487640419	0.632844107756081	0.194964862793437	0.190394009735551	0.238577051268495	0.959956718421987
"MDS9"	0.542372565586468	0.779720842319782	0.309524920898303	0.545667967312783	0.546667710222729	0.126412140388397	0.608978315467601	0.0618897150610461	-0.108060856720082	241	0.0389517553355276	0.625107363726777	0.828453394964768	0.39712631360537	0.674644032313987	0.70138498670086	0.242447880729798	0.733548084918996	0.550823929645057
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus"	0.0185604103832047	0.0313125976975921	0.348153800702428	0.398800557373402	0.370391946250911	0.872555270876764	0.884235255697332	0.267192295570682	-1.50428090175606	93	0.200896918753284	0.0485426117714583	0.0608359040981789	0.434428518267896	0.548635825420916	0.535886220107701	0.911635628088158	0.93860957039082	0.63925618515989
"MDS7"	0.00348193608417824	0.744713172573073	0.351376007422563	0.822314750251493	0.69715506178268	0.30220853493074	0.244740705144733	0.484433181868623	0.128010964237465	239	-0.00290150256374656	0.01246166598548	0.803817392618555	0.434428518267896	0.886862150073434	0.799808500365899	0.446743051636745	0.462287998606717	0.823046316285646
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__"	0.00211428372600198	0.711148307567836	0.365894115637641	0.403408695162438	0.938111458445335	0.615618123154913	0.717356568405868	0.518439611747707	-0.148039819183437	112	0.038422230770338	0.00798729407600746	0.779969111526013	0.438174936209048	0.548635825420916	0.938111458445335	0.70903881350414	0.830942149702674	0.823046316285646
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia"	0.800456359981185	0.0525624611757444	0.367293696528172	0.099316337839527	0.0839838046747033	0.636049523878714	0.795158587144501	0.162108617722765	1.2793243076412	114	-0.214701961907072	0.837400499672624	0.0901613742930011	0.438174936209048	0.241196820467423	0.158636075496662	0.70903881350414	0.872109418158485	0.63925618515989
"MDS3"	0.0124583453958456	0.624886494670963	0.382562750092544	0.0508000134042371	0.0440356579681516	0.129850344472951	0.132470832861447	0.47656687629785	0.204198861399575	235	-0.0624175198726379	0.0352986452882291	0.725791609364382	0.448521844936086	0.138176036459525	0.110904620067937	0.242447880729798	0.281500519830574	0.823046316285646
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus"	0.169990575231536	0.00895980183844469	0.414106097732736	0.214221753882686	0.230935511611543	0.376541206463954	0.0778423474502895	0.670753622816682	2.04770159540726	146	-0.264316605598172	0.246930593583627	0.0225654268523792	0.477274824505526	0.373514852923658	0.365200343943836	0.536792874794155	0.189045700950703	0.860589553802536
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.Other"	0.0235435840007814	0.0588685126913511	0.453116598068566	0.778170074107714	0.5737079765812	0.0443471879639211	0.463877435800653	0.228880209753477	1.23011693646741	111	-0.186405721035213	0.0516439907113914	0.0976355820246798	0.508764938211247	0.881926083988743	0.709311680136756	0.115984953136409	0.671141822009455	0.63925618515989
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__"	0.00108853849521362	0.823942172036845	0.456392076924795	0.954619109765043	0.874925886542624	0.519861079372009	0.746034022348179	0.37001129818353	-0.0841032679710843	208	0.0220161357673207	0.00493470784496841	0.848910116644022	0.508764938211247	0.954619109765043	0.918874731607133	0.666991573533899	0.845505225327936	0.698910229902223
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.Other.Other"	3.90863271050312e-05	0.622662342243203	0.481864617053075	0.766221121218769	0.889887361537002	0.462917869414336	0.536952233283177	0.178506833792914	0.205747399013654	68	-0.0405883698755499	0.000664467560785531	0.725791609364382	0.528496676767889	0.881926083988743	0.918874731607133	0.605354136926439	0.702947731044672	0.63925618515989
"MDS6"	0.134287982215801	0.954605111046723	0.613796501206489	0.921944837631855	0.857271351735504	0.590041757965709	0.389052845512617	0.618889676917335	0.0201762447095128	238	-0.0363159251195958	0.206341512484616	0.955127605635088	0.66251050923875	0.935705208342778	0.918874731607133	0.707137923651044	0.58790207766351	0.853083767763371
"MDS10"	0.00525410693620254	0.800910967220163	0.665136105043867	0.271363533238589	0.696994846293031	0.893575909635208	0.92872627416993	0.79062967423093	-0.0964157593141119	242	0.0711622686914799	0.0170132986505606	0.837876088784171	0.706707111609109	0.431553199689063	0.799808500365899	0.911635628088158	0.942587860351571	0.896046964128387
"k__Bacteria.Other.Other.Other.Other.Other"	0.0395928736698188	0.0301210973636123	0.789868284714937	0.272893935097496	0.705713382675794	0.603147052525891	0.614885894711512	0.312153605675574	1.52112921008488	3	-0.209920726427122	0.0769232974156479	0.0602421947272247	0.826323744009472	0.431553199689063	0.799808500365899	0.707137923651044	0.733548084918996	0.655516569850697
