"bugNames"	"pValuesTime"	"pValuesTumor"	"pValuesGroup"	"bugIndex"	"pValuesFobVsSG"	"pValuesLog10VolumeWithDirection"	"corCoeffVolumeBug"	"pValuesAdjustedTime"	"pValuesAdjustedTumor"	"pValuesAdjustedGroup"	"pValuesFobVsSGAdjusted"
"MDS9"	0.053816598246001	0.189340890958968	0.152250189136244	127	0.790921814027907	0.722755583605813	-0.176307174175151	0.0878060287171596	0.5127579030689	0.349611545423967	0.933270033950452
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio"	0	0.841089678978748	0.17569434021625	99	0.343436396137914	0.0751576962244138	-0.00656130435911764	0	0.927725369977811	0.379397684179449	0.817843616028601
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus."	0.000448029384802706	0.176290199400374	0.177460207116194	60	0.816584271043017	-0.753771831005542	0.165641695197235	0.00120773138512034	0.5127579030689	0.379397684179449	0.933270033950452
"MDS8"	0.235269650943573	0.712229702595818	0.211047065274332	126	0.647954363128609	-0.147379918608302	0.0681200467436819	0.317825458847345	0.879476355354347	0.427653260453922	0.933270033950452
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__"	0.0486474331153615	0.0957255229229363	0.213826630226961	45	0.587109429913847	-1.01897225253916	0.233150101085905	0.0815173203554706	0.456537109324773	0.427653260453922	0.933270033950452
"MDS1"	5.6631863565304e-07	0.0122140523490319	0.232677755836213	119	0.965781869494319	1.91314022296411	-0.262431882563835	3.19197776458986e-06	0.125509682995145	0.450813151932663	0.989328753881964
"MDS3"	0.000833543269327386	0.58381417026388	0.250594764739647	121	0.589768781030927	0.233725368079207	-0.0675386463750256	0.00198768010378069	0.804366190141345	0.465071159033919	0.933270033950452
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila"	3.66373598126302e-15	0.190216641461044	0.25503902269602	98	0.363217467649123	0.720751490665976	-0.105238498855669	7.57172102794357e-14	0.5127579030689	0.465071159033919	0.817843616028601
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.g__"	0.408012931526368	0.563481360168004	0.279584096371452	13	0.0841705157358278	-0.24912044574045	0.0772080870453666	0.527016703221559	0.804366190141345	0.48374372369587	0.683999114346682
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus"	0.0280195983049407	0.565628159505602	0.28088345246857	40	0.174432104705591	-0.247468977546604	0.0738804608794227	0.052642881663828	0.804366190141345	0.48374372369587	0.817843616028601
"k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__"	0.047163441189387	0.515245036373443	0.354949243051962	102	0.113182650109386	0.287986183315867	-0.112408588245927	0.0812259264928331	0.804366190141345	0.591008294091209	0.683999114346682
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__AF12"	7.78531524792125e-06	0.181566196863779	0.36223088992687	19	0.60609708541756	0.740965003182892	-0.155192443948213	3.71299650285475e-05	0.5127579030689	0.591008294091209	0.933270033950452
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium"	0.678845736395858	0.574680572360924	0.394636119876448	67	0.798642029499637	0.240573484368062	-0.0760190450049933	0.77941547512117	0.804366190141345	0.627370241854866	0.933270033950452
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea"	0.000230192444109156	0.350630424822233	0.418173562217311	57	0.142454779004272	-0.455150402106685	0.13418889117683	0.000690056458306966	0.770816626345602	0.648169021436831	0.73601635818874
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Eubacterium."	0.000106556134660929	0.14212043350443	0.449018702733719	79	0.229374656619052	-0.847343476469124	0.19449583548943	0.000362442656885669	0.5127579030689	0.679003891938794	0.817843616028601
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__"	0.197266034204128	0.214265899921538	0.478376865170488	18	0.919271264744179	0.669046940737446	-0.201229838022978	0.277965775469454	0.531379431805413	0.70617537239453	0.982669283002398
"k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia"	0.025132356156373	0.440792649667511	0.523526751530664	112	0.880085294355462	0.355765656069736	-0.122314869186166	0.0486939400529727	0.787375765563425	0.733793306446029	0.957285758772608
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__"	2.42694753183059e-13	0.794763613016602	0.528560927739339	61	0.842953579052021	-0.0997620245866906	0.0185319354506364	3.00941493946993e-12	0.912506370500543	0.733793306446029	0.933270033950452
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium"	0.041318497525487	0.444141628753186	0.532591915968892	49	0.189500409165418	0.352478519124219	-0.122422161357066	0.0731927670451484	0.787375765563425	0.733793306446029	0.817843616028601
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__"	7.49768368613069e-07	0.394661251869299	0.56798953356183	46	0.49971915076068	-0.403775510861688	0.0855081565343297	3.87380323783419e-06	0.770816626345602	0.75632800046023	0.930052115784763
"MDS6"	0.913571284779974	0.818876808506634	0.573345419703723	124	0.677841920417835	0.0867814284104582	-0.0528611462896227	0.944023660939307	0.92309749322566	0.75632800046023	0.933270033950452
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.Other.Other"	0.571276597191719	0.133524527428835	0.609009154823128	28	0.073917200942121	-0.874438950414902	0.204691722442887	0.708382980517732	0.5127579030689	0.786636824979873	0.683999114346682
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__"	0.235805985596417	0.132817951373916	0.63285213849239	53	0.939308278316011	-0.876743222740944	0.216428667191166	0.317825458847345	0.5127579030689	0.788288464086582	0.987069716196486
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__"	2.2999604021301e-05	0.0651327664031085	0.63571650329563	65	0.728707319918494	-1.18620047551715	0.211072599386591	9.50650299547107e-05	0.367111956090248	0.788288464086582	0.933270033950452
"MDS7"	0.995074510654219	0.964386285453653	0.661669456992966	125	0.300823353554009	0.0157489743565409	-0.00292560341525155	0.995074510654219	0.996532494968775	0.795076093636768	0.817843616028601
"MDS4"	0.656596954783791	0.983683121477769	0.666838014017934	122	0.362634117762085	0.00714478038687484	-0.00243284600353192	0.768363695534579	0.999495832508005	0.795076093636768	0.817843616028601
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides"	7.94994292618867e-10	0.579871854754821	0.729009201926744	15	0.712646417636441	0.236667970095223	-0.0761465738814208	7.04137802033854e-09	0.804366190141345	0.841962019559189	0.933270033950452
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus"	0.00871323986920114	0.751324205420214	0.733321758970907	69	0.335905747332856	-0.124172619264739	0.0517960710002979	0.0186283059272576	0.879476355354347	0.841962019559189	0.817843616028601
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella"	0.979054085907645	0.520820434327812	0.765325829402543	16	0.121354681577637	-0.283311984613227	0.0997299443683452	0.995074510654219	0.804366190141345	0.85096062266834	0.683999114346682
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium"	9.88994663941867e-10	0.397840839404182	0.771152367755361	50	0.762636187222393	0.400290637457162	-0.0793555001408749	7.66470864554947e-09	0.770816626345602	0.85096062266834	0.933270033950452
"k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__"	0.16222786325301	0.500456477087811	0.792988846919301	76	0.720981342183317	-0.300633685582236	0.106639405893411	0.239479226706824	0.804366190141345	0.85096062266834	0.933270033950452
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__Dialister"	0.734157204697343	0.689320419178166	0.796059937334899	71	0.588495419866681	-0.161578856563034	0.0545412489279864	0.81281690520063	0.879476355354347	0.85096062266834	0.933270033950452
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.Other"	0.0666127245905734	0.999495832508005	0.853716097980431	52	0.685761884966029	0.000219012373828254	-0.0164374817645464	0.105119923713942	0.999495832508005	0.89712539109808	0.933270033950452
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella"	7.11456711639524e-05	0.751810432802909	0.870549517633888	94	0.271513198317712	-0.123891651916571	0.0489059480100163	0.000275689475760316	0.879476355354347	0.899567834888351	0.817843616028601
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira"	0.0391084445922657	0.203906712232991	0.91665749517191	68	0.029495846713141	-0.690568477812987	0.169120779386737	0.0713153989623669	0.526759006601894	0.931684667223908	0.683999114346682
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus"	8.55249204789743e-09	0.37413900598948	0.938487028262446	42	0.508560029073197	0.426967011922313	-0.0957208357834266	5.89171674410712e-08	0.770816626345602	0.938487028262446	0.930052115784763
