bugNames	pValues	log10PValues	xGroup	yGroup	xSampleSize	ySampleSize	meanXGroup	meanYGroup	pValuesAdjusted
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes	2.91E-07	6.536813031	Control	ICR	18	20	1.900708644	0.138312078	4.08E-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	3.19E-07	6.496181984	DIO	HCCR	18	19	10.00320626	9.202027363	4.41E-06
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__	3.46E-07	-6.460689805	Control	LCCR	18	20	8.425083159	9.349062836	4.71E-06
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	4.08E-07	6.389264185	FOb	HCCR	17	19	4.245936393	2.686838512	5.46E-06
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	4.39E-07	6.357584632	DIO	ICR	18	20	7.429984377	5.579233098	5.78E-06
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__	4.45E-07	-6.35171252	DIO	HCCR	18	19	0.500285695	2.655354459	5.78E-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__	4.63E-07	-6.334172818	FOb	HCCR	17	19	2.266063811	3.597112959	5.93E-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium	5.14E-07	6.288840595	DIO	HCCR	18	19	5.647104457	4.517478016	6.40E-06
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	5.15E-07	-6.288386609	DIO	ICR	18	20	2.893319088	6.491776904	6.40E-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	6.61E-07	-6.179470814	Control	ICR	18	20	5.683119602	7.877533361	8.11E-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	7.88E-07	6.103260687	DIO	LCCR	18	20	10.00320626	9.26600433	9.53E-06
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae..g__Odoribacter	8.48E-07	-6.071658051	Control	HCCR	18	19	8.504078828	9.379768318	1.01E-05
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	9.08E-07	-6.041857048	ICR	LCCR	20	20	0.16760652	1.039969525	1.07E-05
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__AF12	1.05E-06	5.978954464	FOb	LCCR	17	20	7.810478196	7.020900885	1.22E-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.Other.Other	1.14E-06	5.944170395	DIO	LCCR	18	20	7.466927032	6.104853759	1.30E-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__	1.21E-06	-5.917307042	DIO	ICR	18	20	2.053652222	3.42482844	1.37E-05
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	1.32E-06	-5.879741517	Control	LCCR	18	20	4.77824533	6.637955343	1.47E-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.Other.Other	1.42E-06	5.849154948	DIO	ICR	18	20	7.466927032	6.268685964	1.51E-05
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	1.42E-06	-5.847397118	DIO	LCCR	18	20	9.009324542	9.930146392	1.51E-05
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	1.43E-06	-5.843959936	DIO	FOb	18	17	2.893319088	6.033732165	1.51E-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium	1.44E-06	5.841383465	FOb	HCCR	17	19	5.799595824	4.517478016	1.51E-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea	1.44E-06	5.840634753	DIO	LCCR	18	20	4.988040543	3.538049315	1.51E-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.Other	1.55E-06	-5.810533041	DIO	ICR	18	20	0.062899212	0.891209204	1.60E-05
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides	1.61E-06	-5.793131999	DIO	HCCR	18	19	5.245266012	6.903354383	1.65E-05
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__	1.80E-06	-5.744359332	FOb	ICR	17	20	8.746290383	9.430796646	1.82E-05
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella	2.05E-06	-5.687519782	DIO	LCCR	18	20	1.858236411	4.321503629	2.05E-05
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	2.17E-06	-5.664490105	DIO	LCCR	18	20	2.893319088	6.356422766	2.14E-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__	2.46E-06	-5.60957789	Control	ICR	18	20	2.046664561	3.42482844	2.40E-05
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae.g__Akkermansia	2.86E-06	-5.543855506	DIO	HCCR	18	19	2.893319088	6.08848807	2.76E-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium	3.06E-06	5.5140276	DIO	ICR	18	20	5.647104457	4.744092297	2.93E-05
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__AF12	3.19E-06	5.495746438	FOb	ICR	17	20	7.810478196	7.127332301	3.00E-05
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	3.20E-06	5.494206627	DIO	FOb	18	17	7.429984377	5.496537878	3.00E-05
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	3.47E-06	5.459148288	Control	LCCR	18	20	10.45807383	9.930146392	3.22E-05
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	3.55E-06	5.449438317	Control	HCCR	18	19	3.949210309	2.686838512	3.25E-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaerotruncus	3.95E-06	5.40392598	DIO	LCCR	18	20	2.622779227	1.285798175	3.55E-05
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides	3.96E-06	-5.402531144	Control	LCCR	18	20	6.321779875	7.508627185	3.55E-05
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__AF12	4.37E-06	5.359683766	Control	HCCR	18	19	7.634438211	6.943226293	3.88E-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__	4.42E-06	-5.354713015	Control	HCCR	18	19	5.683119602	7.625452253	3.88E-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.Other.Other	4.52E-06	5.345321497	DIO	FOb	18	17	7.466927032	6.103443073	3.92E-05
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila	4.55E-06	5.342149997	Control	ICR	18	20	6.96060112	5.073213962	3.92E-05
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	5.07E-06	-5.295105797	DIO	LCCR	18	20	0.178598836	1.039969525	4.32E-05
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.Other.Other	5.18E-06	-5.285572202	FOb	LCCR	17	20	1.73517994	3.083881735	4.36E-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea	5.22E-06	-5.282544307	Control	DIO	18	18	3.556778433	4.988040543	4.36E-05
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	6.46E-06	5.189594198	FOb	ICR	17	20	4.245936393	2.960502501	5.32E-05
k__Bacteria.p__TM7.c__TM7.3.Other.Other.Other	6.48E-06	5.188692201	Control	DIO	18	18	5.739764336	2.746525687	5.32E-05
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.Other.Other	7.20E-06	-5.142628765	FOb	ICR	17	20	1.73517994	3.100605967	5.85E-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea	8.00E-06	5.097157967	DIO	ICR	18	20	4.988040543	3.559454238	6.44E-05
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.Other.Other	8.90E-06	-5.050704778	FOb	HCCR	17	19	1.73517994	3.032071125	7.10E-05
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__	9.08E-06	-5.04180886	Control	HCCR	18	19	8.425083159	9.222575355	7.18E-05
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium	9.55E-06	-5.020021133	DIO	HCCR	18	19	0.061485058	1.309385462	7.48E-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium	1.05E-05	4.978887805	Control	HCCR	18	19	5.693431168	4.517478016	8.15E-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__	1.07E-05	-4.97076283	Control	DIO	18	18	8.781843666	9.328309701	8.24E-05
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella	1.10E-05	-4.957567984	FOb	HCCR	17	19	2.869899566	4.55541109	8.36E-05
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.Other.Other	1.11E-05	-4.956628348	Control	LCCR	18	20	1.872406638	3.083881735	8.36E-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__	1.13E-05	-4.945920831	Control	DIO	18	18	4.10499094	5.28117877	8.49E-05
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__	1.15E-05	-4.939661472	DIO	LCCR	18	20	0.500285695	3.383352703	8.50E-05
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila	1.15E-05	4.938404401	FOb	ICR	17	20	7.065999833	5.073213962	8.50E-05
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__AF12	1.27E-05	-4.89499086	Control	DIO	18	18	7.634438211	8.362121513	9.31E-05
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides	1.29E-05	-4.889831238	DIO	ICR	18	20	5.245266012	6.69789235	9.34E-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__	1.31E-05	-4.884267238	FOb	ICR	17	20	2.266063811	3.42482844	9.39E-05
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	1.40E-05	-4.855073806	DIO	FOb	18	17	0.963093498	4.431363288	9.94E-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea	1.41E-05	4.852235292	DIO	HCCR	18	19	4.988040543	3.552929495	9.94E-05
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__	1.45E-05	-4.839759836	DIO	HCCR	18	19	3.65242436	5.802891301	0.00010147
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae.g__Dehalobacterium	1.59E-05	4.798819804	FOb	ICR	17	20	5.799595824	4.744092297	0.000110105
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__	1.59E-05	-4.797340099	Control	HCCR	18	19	4.260176711	5.802891301	0.000110105
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.Other.Other	1.72E-05	-4.764428291	Control	ICR	18	20	1.872406638	3.100605967	0.000117839
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.Other.Other	1.96E-05	-4.708674434	Control	HCCR	18	19	1.872406638	3.032071125	0.000132934
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	2.03E-05	4.69308445	HCCR	ICR	19	20	6.489647645	5.579233098	0.000136724
k__Bacteria.p__TM7.c__TM7.3.Other.Other.Other	2.06E-05	4.686759776	Control	LCCR	18	20	5.739764336	4.050418523	0.000137663
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella	2.12E-05	-4.673776136	Control	LCCR	18	20	2.189568203	4.321503629	0.000140758
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__	2.48E-05	4.605945314	FOb	HCCR	17	19	8.914485769	8.286532739	0.000163305
k__Bacteria.p__TM7.c__TM7.3.Other.Other.Other	2.92E-05	4.53533545	Control	ICR	18	20	5.739764336	4.787069138	0.000190542
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium	2.93E-05	-4.532424008	DIO	ICR	18	20	0.061485058	1.270262248	0.000190542
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae..g__Odoribacter	3.20E-05	-4.494250019	FOb	LCCR	17	20	8.836949353	9.522699412	0.000205098
k__Bacteria.p__TM7.c__TM7.3.o__CW040.f__F16.g__	3.21E-05	4.494018397	Control	HCCR	18	19	4.104319732	2.831743421	0.000205098
k__Bacteria.p__TM7.c__TM7.3.o__CW040.f__F16.g__	3.39E-05	4.470148099	Control	DIO	18	18	4.104319732	1.665062057	0.000215105
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__	3.58E-05	4.445702562	DIO	LCCR	18	20	5.28117877	3.836634771	0.000225911
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	3.66E-05	-4.436951223	FOb	ICR	17	20	5.241970146	6.556521091	0.000228851
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillospira	4.54E-05	4.343251117	FOb	HCCR	17	19	8.842530466	8.109955749	0.000281929
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	4.73E-05	-4.324716433	Control	HCCR	18	19	4.77824533	6.430945996	0.000290916
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.Other	4.75E-05	-4.323463074	Control	ICR	18	20	0.18824319	0.891209204	0.000290916
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__	4.81E-05	4.317575352	FOb	ICR	17	20	8.914485769	8.337981388	0.000292825
