id	IER_Control_DIO	IER_Control_FOb	IER_Control_HCCR	IER_Control_ICR	IER_Control_LCCR	IER_DIO_FOb	IER_DIO_HCCR	IER_DIO_ICR	IER_DIO_LCCR	IER_FOb_HCCR	IER_FOb_ICR	IER_FOb_LCCR	IER_HCCR_ICR	IER_HCCR_LCCR	IER_ICR_LCCR	Sleeve_Control_DIO	Sleeve_Control_FOb	Sleeve_Control_SG	Sleeve_DIO_FOb	Sleeve_DIO_SG	Sleeve_FOb_SG
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes	6.808186434	1.580368287	2.566929808	6.536813031	6.724979695	-1.973838978	-1.843583947	-1.458232398	-0.789011427	0.201861925	1.582881043	1.842091409	1.362968498	1.67975436	0.714509356NA	NA	NA	NA	NA	NA	
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Sutterella	0.489647039	-1.397296232	-7.282035016	-6.596562409	-4.673776136	-2.540781209	-8.61756879	-8.127172103	-5.687519782	-4.957567984	-4.070774044	-2.820432077	0.677321121	0.225647809	-0.165987596	-0.172038609	0.016047791	-0.708897813	0.176762988	-0.15697779	-0.621220251
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila	-3.681286977	-0.116512459	2.738045265	5.342149997	3.216711035	2.404272774	8.572285607	9.783049209	7.91490421	2.518592917	4.938404401	3.043590501	1.78546851	0.379477739	-0.882199762NA	NA	NA	NA	NA	NA	
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae.g__Stenotrophomonas	0.479735619	0.100717894	-2.042958463	-1.908325543	-1.795202426	-0.478606929	-2.573012734	-2.427295349	-2.199043302	-2.245845269	-2.104055319	-1.943134879	0.020631411	-0.074331278	-0.094712674NA	NA	NA	NA	NA	NA	
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	-0.43154813	0.130717794	1.446753484	0.295917729	2.092555317	0.747037493	3.319269923	1.272571033	3.341131301	1.255125293	0.125366211	1.909420293	-1.312245439	0.69676845	1.89103849NA	NA	NA	NA	NA	NA	
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae..g__	-0.111657123	0.046124506	0.963765398	-0.09072314	2.038027576	0.213026312	1.459452174	0.024387665	3.023021029	1.050504686	-0.186530834	2.396197308	-1.43866933	0.489351145	3.033293723	-0.548707088	1.150947377	0.73092546	1.518433933	1.08084048	-0.508409791
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__	-0.213320867	-0.507009088	-0.520434128	-0.246649115	-1.259442209	-0.240983363	-0.22904522	0.01457306	-0.857976959	0.026462477	0.313113072	-0.388220534	0.317420444	-0.488228147	-1.156678081	-0.479128248	1.220523685	0.043780827	1.210681274	0.515109469	-0.946220142
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__.Ruminococcus.	-3.427543968	-1.132897632	0.054508475	0.150724966	-0.191807244	1.911619342	2.896386447	3.137750521	2.485040944	0.876628932	1.067573081	0.501329081	0.071652486	-0.215254914	-0.320976977	-0.440140451	0.124479379	-0.097442641	0.553411199	0.384977482	-0.2465687
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7.g__	9.292585987	2.495790871	3.51100364	3.815854384	5.459148288	-7.495788737	-7.546251767	-7.43180362	-5.847397118	-0.102317772	0.002067335	1.308049504	0.148545845	2.006076136	1.685019707	2.614612221	1.171055391	0.753732816	-1.530762167	-0.538262502	0.145627098
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Coprococcus	0.62896055	0.937399148	1.679773764	2.22734662	1.354163242	0.400862676	1.012797214	1.529054522	0.729916857	0.23431021	0.384490219	0.127973003	0.100394092	-0.085312923	-0.205998383	-1.469077163	0.890330135	0.608286961	1.285517644	2.681242769	-0.659475637
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus	0.04625119	-0.631144905	5.449438317	4.136721365	1.897701422	-0.545702132	3.597550175	2.589046649	1.135562738	6.389264185	5.189594198	3.058887558	-0.638943148	-2.499289102	-1.282096269	1.728757955	0.609127252	0.097350697	-0.753071268	-1.365948162	-0.405117108
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	0.42307684	0.156653146	-0.981401443	0.482352639	-1.802724097	-0.294801561	-3.554999192	0.03277514	-5.295105797	-2.121849632	0.380879969	-3.520518202	4.256995392	-0.711726904	-6.041857048NA	NA	NA	NA	NA	NA	
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__	0.759354562	-0.828630498	-4.797340099	-0.482314602	-2.403833398	-1.755363366	-4.839759836	-1.456976403	-3.271732174	-1.72272253	0.311725897	-0.586573252	3.865566284	0.848749413	-1.510375393	0.204453819	-0.706249987	-0.200440779	-0.672265969	-0.369145473	0.263650281
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas	-0.118069671	-0.408004031	0.17723944	-0.050241299	-0.462718304	-0.213824791	0.334026723	0.076817077	-0.260081995	0.774179147	0.382397752	-0.038266972	-0.290900158	-0.839476881	-0.440935783NA	NA	NA	NA	NA	NA	
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia	-0.077287806	-1.853888611	-2.114108615	-1.178446367	-1.367418094	-1.584225708	-1.990364791	-0.938512473	-1.157621549	-0.715584568	0.35912535	0.107917977	1.1294359	0.837935076	-0.182404464	-1.002845461	-0.957176475	-0.466300883	-0.18568071	0.283178629	0.446108725
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.Odoribacteraceae..g__Odoribacter	-0.880796257	-1.220498028	-6.071658051	-6.642737959	-7.125422442	-0.019263055	-2.277008524	-2.693549075	-3.115021688	-3.313406826	-3.907124651	-4.494250019	-0.435539469	-1.181411449	-0.443747581	0.582229391	1.516598317	1.832449573	0.627176833	0.370884279	-0.259904124
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__	-0.009994578	-0.443169559	-6.897109928	-5.60957789	-9.690429353	-0.45163457	-7.343178722	-5.917307042	-10.29132434	-6.334172818	-4.884267238	-9.415597969	0.349352315	-1.778682374	-2.442806336	-0.854905831	0.049540517	0.312495145	0.927417347	1.386026849	0.233540884
k__Bacteria.Other.Other.Other.Other.Other	0.214152816	-0.06073942	-0.14115655	-0.852265225	-0.864004557	-0.321121485	-0.450865668	-1.395055682	-1.389611936	-0.074982812	-0.81206149	-0.821689272	-0.714425475	-0.725020002	-0.027510458NA	NA	NA	NA	NA	NA	
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Propionibacteriaceae.g__Propionibacterium	-0.870644415	-0.053253664	1.312098378	1.006035629	0.373802872	0.71530376	2.545882966	2.256606355	1.490609451	1.273308014	0.98944853	0.424444679	-0.275757201	-0.648615307	-0.371259883NA	NA	NA	NA	NA	NA	
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.Other.Other	2.582295404	0.206101058	-4.708674434	-4.764428291	-4.956628348	-1.945499736	-8.639552542	-8.787494721	-8.880755148	-5.050704778	-5.142628765	-5.285572202	-0.131582322	-0.106012412	0.028797304	1.697796565	0.11329606	0.506409308	-1.374348904	-0.972432898	0.291538191
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__	-2.59570093	0.169633144	2.623319669	2.542807871	2.142887087	2.950935289	6.496181984	6.584320662	6.103260687	2.083903221	1.996434671	1.639370851	-0.044507082	-0.182586398	-0.128648469	-1.586466306	0.488447127	0.282672795	1.360639425	1.772637966	-0.235091449
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae.g__Corynebacterium	0.864169965	-0.208028519	-3.471616076	-3.069067269	-2.241692055	-1.142842693	-5.020021133	-4.532424008	-4.139463588	-2.652305572	-2.342507793	-1.502356691	0.046660444	0.639588494	0.513496111NA	NA	NA	NA	NA	NA	
k__Bacteria.p__TM7.c__TM7.3.o__CW040.f__F16.g__	4.470148099	2.674285748	4.494018397	2.463172315	3.928792445	-1.096009882	-1.61908824	-2.872249905	-1.242282109	-0.121328128	-0.994351586	0.00760456	-1.400864687	0.167373944	1.450267903	1.292432199	2.666030529	2.693600107	0.283633309	0.3052452	0.040220053
k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum	-0.653215957	0.125397069	0.281947368	0.844897851	0.490699151	0.870906484	1.565624855	2.562596923	1.697771355	0.077590733	0.489539673	0.263370707	0.916219944	0.267583524	-0.13924153NA	NA	NA	NA	NA	NA	
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Parabacteroides	3.483664284	-0.056920155	-1.71869327	-0.922032474	-5.402531144	-3.129560761	-5.793131999	-4.889831238	-8.792014345	-1.245254318	-0.64175584	-3.966290906	0.365254916	-1.76394574	-2.73366933	0.301862435	-0.907122289	-0.571273683	-0.727813182	-0.512249264	0.338275056
k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae.g__Turicibacter	4.17025419	-0.069571765	-2.202604298	-1.339376856	-0.408550238	-4.855073806	-16.77126346	-11.3743761	-7.883692292	-2.214314134	-1.271555334	-0.315492106	0.593760932	1.938804492	0.833591196	3.055624039	0.561904344	2.827281444	-1.066696564	-0.286188081	0.885448599
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.Other	0.584945161	-0.681086612	-2.368498906	-4.323463074	-2.326852924	-1.673735591	-3.192270891	-5.810533041	-3.168462767	-1.383049649	-2.57604543	-1.338780819	-0.150427775	0.015866973	0.174998655NA	NA	NA	NA	NA	NA	
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__.g__NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		-0.576146805	-0.881179456	0.032023299	-0.233133511	0.627686411	0.930543449
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Eubacterium.NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		-1.531567545	-1.299495756	-0.683330274	0.002634322	0.493209718	0.422375506
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__.g__	2.427583916	-1.033130428	-4.324716433	-7.568197579	-5.879741517	-3.928674545	-6.956902633	-9.403495177	-8.486892963	-2.581744853	-4.436951223	-3.71898045	-0.140354198	-0.216982575	-0.096072273	1.078788988	1.116048848	1.947458632	-0.107504326	-0.028324295	0.094852999
k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__.g__	7.74551931	1.123538865	2.104446635	1.973542859	0.494623285	-2.495640524	-6.35171252	-3.834664496	-4.939661472	0.007428659	0.088562941	-0.430721853	0.124817159	-0.682948501	-0.762110013	3.071124259	1.705000605	2.835852673	-0.448650434	-0.636283744	0.18176486
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	0.270155906	-1.375076459	-1.927081705	-0.903418601	-3.587936846	-1.689055491	-2.177592187	-1.236993687	-3.439612928	-0.12892907	0.254753874	-0.684899924	0.48004332	-0.500184353	-1.358473779	-1.422724705	-2.167107107	-3.012317905	-0.628699462	-0.503972056	0.144102167
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__AF12	-4.89499086	-0.710758304	5.359683766	3.024326192	3.671135683	3.938785738	12.40729577	10.26570681	10.49281071	8.910431276	5.495746438	5.978954464	-0.981750759	-0.27965651	0.343111421	0.402776641	1.168429152	1.680229488	0.301080333	0.291433369	-0.034437192
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__FaecalibacteriumNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		-0.291493808	0.114911283	-0.031560798	0.390685226	0.275720845	-0.167044709
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.Other	0.058065484	1.425349343	3.390948856	2.197903399	2.279776954	1.60205682	3.90355978	2.340729172	2.592993379	1.619277343	0.717489083	0.601162538	-0.226701696	-0.572809832	-0.154684673	-0.026714166	-0.812803864	-1.767943145	-0.417076617	-0.609845479	-0.13920251
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__	-4.945920831	-0.630965176	0.658089197	-0.795186468	0.400137305	2.741497864	7.558747462	2.459754596	4.445702562	1.689874474	-0.081234128	1.096087831	-1.939872467	-0.02052627	1.258467076NA	NA	NA	NA	NA	NA	
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae.g__DialisterNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		-0.209949189	0.35362404	0.099872493	0.514152343	0.321592504	-0.314759347
Unassigned.Other.Other.Other.Other.OtherNA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		0.946794127	1.627846893	1.653941902	0.0570129	0.332854879	0.325951351
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.Other.Other	-7.335314735	-0.461952691	-0.204193333	-1.096889043	-0.492432062	5.345321497	6.642175325	5.849154948	5.944170395	0.19901454	-0.293563962	-0.001815836	-0.661503216	-0.211858561	0.309086764	-0.795964105	0.848610396	-0.305383161	1.401359848	0.490081907	-0.997219047
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__	1.703193005	-1.505858675	-5.04180886	-7.996231093	-6.460689805	-4.162468049	-7.522551862	-9.448041226	-8.700719539	-2.639709838	-5.744359332	-3.964542157	-0.926537826	-0.394328529	0.292386614	0.375381845	-0.076677321	-0.162006798	-0.446270517	-0.564074372	-0.061253232
k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Coprobacillus	0.860059316	-0.890872577	-1.235846798	-1.676833071	-0.84409112	-1.75917197	-2.331876548	-3.330185474	-1.982909829	-0.083676471	-0.115120715	0.097769306	-0.019623026	0.217317281	0.283677459	-0.47177904	-0.458703595	-0.29577965	-0.11677518	0.199263985	0.278584565
